-1 |BT| (SBV (ATT (ATT (ATT (ATT (ATT (ATT (ATT ns))) (ATT (ATT nz))) (ATT b))) (ATT (ATT (WP wp)))) (ATT (ATT nh) (ATT (ATT (WP wp) (ATT ns)) (ATT v))) (WP wp)) |BT| (SBV(ATT(ATT nh) ) ) |ET| |BV|4:1 6:1 8:1 9:1 10:1 11:1 15:1 |EV|
-1 |BT| (SBV (ATT (ATT (ATT (ATT n))) (ATT b)) (COO (WP wp)) (COO (WP wp)) (COO (WP wp)) (WP wp) (COO (ATT (COO (WP wp) (ATT (ATT n))))) (WP wp) (COO nh) (WP wp) (COO (ATT (ATT (ATT n)) (ATT b)) (COO (WP wp))) (WP wp) (COO nh) (RAD u)) |BT| (SBV(ATT(ATT(ATT(ATT n) ) ) ) (COO nh) ) |ET| |BV|4:1 6:1 8:1 10:1 11:1 14:1 15:1 |EV|
1 |BT| (SBV (ATT (ATT ni))) |BT| (ATT (ATT ni)) |ET| |BV|4:1 6:1 8:1 |EV|
-1 |BT| (SBV (ATT (ATT ni)) (COO (WP wp) (ATT (ATT r)))) |BT| (SBV(COO nh) ) |ET| |BV|4:1 6:1 8:1 10:1 11:1 15:1 |EV|
-1 |BT| (VOB (SBV (ATT (ATT ni) (COO (WP wp) (ATT n)))) (ADV (ATT nt)) (ADV (POB ns)) (VOB (ADV (POB n))) (WP wp) (COO (ADV (ATT (ATT (SBV nh) (RAD u)) (ATT (ATT ns)) (ATT n))) (WP wp) (VOB (SBV (ATT ns)) (ADV m) (VOB (ATT (POB (ATT ns)) (RAD u)) (ADV a)) (WP wp) (COO (VOB (ADV nt) (ADV d) (VOB (ATT (RAD u))) (WP wp) (COO (VOB v)) (WP wp) (COO (VOB (SBV (ATT (ATT m) (COO (WP wp) (ATT m)) (RAD u))) (ADV d) (VOB (ATT a)))) (WP wp) (COO (ADV c) (ADV d)) (WP wp) (COO (ADV (POB (ATT m) (ATT (COO (WP wp)) (RAD u)) (ATT (COO j)))) (VOB (ATT m)))))))) |BT| (VOB(COO(ADV(ATT(ATT(SBV nh) ) ) ) ) ) |ET| |BV|4:1 6:1 8:1 9:1 10:1 11:1 15:1 |EV|
-1 |BT| (ATT (ADV nt) (SBV (ATT (ATT ns))) (ADV (POB ns)) (ADV d) (ADV (POB (ATT (ATT ns)) (COO (LAD c) (ATT (ATT (ATT ns) (ATT (ATT n))))))) (SBV v) (VOB v)) |BT| (ATT(SBV nh) ) |ET| |BV|4:1 6:1 15:1 |EV|
-1 |BT| (HED (ADV c) (SBV (ATT (ATT (COO (WP wp))) (ATT (ATT m)) (RAD u))) (SBV (ATT (ATT (LAD c) (COO (WP wp)) (RAD u)))) (ADV d) (RAD u) (VOB (ATT (ATT (RAD u)) (ATT ni) (COO (ATT (WP wp) (ATT n))) (RAD u)) (COO (LAD c))) (WP wp)) |BT| (HED(ADV c) (SBV(ATT(ATT nh) ) ) ) |ET| |BV|4:1 6:1 9:1 10:1 11:1 14:1 15:1 |EV|
1 |BT| (HED (ATT (ATT (ATT ni) (ATT b) (COO (WP wp)) (COO (LAD v)))) (WP wp) (COO (ATT (ATT (ATT ni)))) (WP wp) (COO (ATT (ATT (ATT (ATT (ATT ns))) (ATT b)))) (WP wp) (COO (SBV (ATT (ATT ns) (ATT v)) (WP wp) (COO (ATT (ATT (ATT (ATT (ATT nd))) (ATT a)))) (WP wp) (COO (ATT (ATT (ATT (ATT nd)))) (RAD u))) (ADV (ATT v))) (WP wp)) |BT| (HED(ATT nh) ) |ET| |BV|6:1 10:1 |EV|
1 |BT| (HED (ADV (ATT nt)) (SBV ni) (VOB (ATT n) (ATT (ATT (ATT j)))) (WP wp) (COO (SBV (ATT nh) (COO (WP wp) (ATT nh))) (RAD u) (VOB (ATT n))) (WP wp)) |BT| (HED(ADV(ATT nt) ) (COO(SBV(COO(ATT nh) ) ) ) ) |ET| |BV|4:1 6:1 8:1 9:1 10:1 11:1 15:1 |EV|
-1 |BT| (HED (ADV (POB (ATT ni) (ATT ns) (ATT (ATT nt)) (COO (WP wp) (ATT n) (WP wp)))) (ADV (ATT (SBV (ATT (ATT (ATT ni)) (COO (WP wp) (ATT (ATT n))))) (ADV nt) (ADV (POB (ATT ns))) (COO v))) (WP wp) (VOB (ADV (ATT (ATT a)) (RAD nd) (WP wp)) (SBV (ATT n) (COO (LAD c) (ATT n))) (ADV d) (WP wp) (COO (SBV n) (ADV (ATT a) (ATT m)) (VOB (ATT a))) (WP wp) (COO (SBV n) (SBV v)) (WP wp) (COO (SBV (ATT n)) (ADV v))) (WP wp)) |BT| (HED(ADV p) ) |ET| |BV|6:1 10:1 13:1 |EV|
-1 |BT| (HED (ADV (POB (SBV ni) (ADV ni) (ADV (ATT nt)) (CMP (WP wp) (ATT n) (WP wp)))) (SBV (ATT ns) (ATT (VOB ni))) (ADV nt) (ADV (POB r)) (WP wp) (COO (SBV (ATT ni)) (POB (VOB (ADV d) (ADV a) (VOB (ATT (VOB (ATT (FOB n))) (RAD u))) (WP wp) (COO (ADV d) (ADV v) (VOB (ATT (RAD u)) (ATT a) (ATT a)))))) (WP wp)) |BT| (HED(ADV p) ) |ET| |BV|4:1 6:1 9:1 10:1 13:1 14:1 |EV|
