1	上海	_	NR	_	_	2	NMOD	_	_
2	浦东	_	NR	_	_	6	NMOD	_	_
3	开发	_	NN	_	_	6	NMOD	_	_
4	与	_	CC	_	_	6	NMOD	_	_
5	法制	_	NN	_	_	6	NMOD	_	_
6	建设	_	NN	_	_	7	SUB	_	_
7	同步	_	VV	_	_	0	ROOT	_	_

1	新华社	_	NN	_	_	10	DEP	_	_
2	上海	_	NR	_	_	10	DEP	_	_
3	二月	_	NT	_	_	10	DEP	_	_
4	十日	_	NT	_	_	10	DEP	_	_
5	电	_	NN	_	_	10	DEP	_	_
6	（	_	PU	_	_	10	P	_	_
7	记者	_	NN	_	_	10	DEP	_	_
8	谢金虎	_	NR	_	_	10	DEP	_	_
9	、	_	PU	_	_	10	P	_	_
10	张持坚	_	NR	_	_	0	ROOT	_	_
11	）	_	PU	_	_	10	P	_	_

1	上海	_	NR	_	_	2	NMOD	_	_
2	浦东	_	NR	_	_	6	VMOD	_	_
3	近年	_	NT	_	_	4	DEP	_	_
4	来	_	LC	_	_	6	VMOD	_	_
5	颁布	_	VV	_	_	6	VC	_	_
6	实行	_	VV	_	_	0	ROOT	_	_
7	了	_	AS	_	_	6	VMOD	_	_
8	涉及	_	VV	_	_	22	SBAR	_	_
9	经济	_	NN	_	_	19	NMOD	_	_
10	、	_	PU	_	_	19	P	_	_
11	贸易	_	NN	_	_	19	NMOD	_	_
12	、	_	PU	_	_	19	P	_	_
13	建设	_	NN	_	_	19	NMOD	_	_
14	、	_	PU	_	_	19	P	_	_
15	规划	_	NN	_	_	19	NMOD	_	_
16	、	_	PU	_	_	19	P	_	_
17	科技	_	NN	_	_	19	NMOD	_	_
18	、	_	PU	_	_	19	P	_	_
19	文教	_	NN	_	_	21	NMOD	_	_
20	等	_	ETC	_	_	19	NMOD	_	_
21	领域	_	NN	_	_	8	OBJ	_	_
22	的	_	DEC	_	_	26	NMOD	_	_
23	七十一	_	CD	_	_	24	AMOD	_	_
24	件	_	M	_	_	26	NMOD	_	_
25	法规性	_	NN	_	_	26	NMOD	_	_
26	文件	_	NN	_	_	6	VMOD	_	_
27	，	_	PU	_	_	6	P	_	_
28	确保	_	VV	_	_	6	VMOD	_	_
29	了	_	AS	_	_	28	VMOD	_	_
30	浦东	_	NR	_	_	31	NMOD	_	_
31	开发	_	NN	_	_	32	DEP	_	_
32	的	_	DEG	_	_	34	NMOD	_	_
33	有序	_	JJ	_	_	34	NMOD	_	_
34	进行	_	NN	_	_	28	OBJ	_	_
35	。	_	PU	_	_	6	P	_	_

1	浦东	_	NR	_	_	3	NMOD	_	_
2	开发	_	NN	_	_	3	NMOD	_	_
3	开放	_	NN	_	_	4	SUB	_	_
4	是	_	VC	_	_	26	VMOD	_	_
5	一	_	CD	_	_	6	AMOD	_	_
6	项	_	M	_	_	20	NMOD	_	_
7	振兴	_	VV	_	_	18	SBAR	_	_
8	上海	_	NR	_	_	7	VMOD	_	_
9	，	_	PU	_	_	7	P	_	_
10	建设	_	VV	_	_	7	VMOD	_	_
11	现代化	_	NN	_	_	17	NMOD	_	_
12	经济	_	NN	_	_	16	NMOD	_	_
13	、	_	PU	_	_	16	P	_	_
14	贸易	_	NN	_	_	16	NMOD	_	_
15	、	_	PU	_	_	16	P	_	_
16	金融	_	NN	_	_	17	NMOD	_	_
17	中心	_	NN	_	_	10	OBJ	_	_
18	的	_	DEC	_	_	20	NMOD	_	_
19	跨世纪	_	JJ	_	_	20	NMOD	_	_
20	工程	_	NN	_	_	4	PRD	_	_
21	，	_	PU	_	_	26	P	_	_
22	因此	_	AD	_	_	26	VMOD	_	_
23	大量	_	AD	_	_	24	VMOD	_	_
24	出现	_	VV	_	_	25	SBAR	_	_
25	的	_	DEC	_	_	26	SUB	_	_
26	是	_	VC	_	_	0	ROOT	_	_
27	以前	_	NT	_	_	30	VMOD	_	_
28	不	_	AD	_	_	30	VMOD	_	_
29	曾	_	AD	_	_	30	VMOD	_	_
30	遇到	_	VV	_	_	32	SBAR	_	_
31	过	_	AS	_	_	30	VMOD	_	_
32	的	_	DEC	_	_	37	NMOD	_	_
33	新	_	JJ	_	_	34	NMOD	_	_
34	情况	_	NN	_	_	37	NMOD	_	_
35	、	_	PU	_	_	37	P	_	_
36	新	_	JJ	_	_	37	NMOD	_	_
37	问题	_	NN	_	_	26	PRD	_	_
38	。	_	PU	_	_	26	P	_	_

1	对	_	P	_	_	6	VMOD	_	_
2	此	_	PN	_	_	1	PMOD	_	_
3	，	_	PU	_	_	6	P	_	_
4	浦东	_	NR	_	_	6	VMOD	_	_
5	不	_	AD	_	_	6	VMOD	_	_
6	是	_	VC	_	_	0	ROOT	_	_
7	简单	_	VA	_	_	8	DEP	_	_
8	的	_	DEV	_	_	9	VMOD	_	_
